Fol_2018-05-14.12_58_00.30_29.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist distance between
126     -2.29332 -30.30114   6.84783 -54.33760 -20.37215 -36.13158     (-4.555,-28.008) (-42.935,-2.293) (-8.970,-38.425) 18.6638  18.6638  
127     -2.29902 -30.31474   6.83200 -54.30630 -20.35062 -36.13315     (-4.533,-28.016) (-42.941,-2.299) (-8.986,-38.432) 18.6488  18.6488  
128     -2.30471 -30.32834   6.81616 -54.27500 -20.32909 -36.13473     (-4.511,-28.024) (-42.947,-2.305) (-9.001,-38.439) 18.6339  18.6339  
129     -2.31041 -30.34193   6.80033 -54.24370 -20.30756 -36.13631     (-4.490,-28.032) (-42.953,-2.310) (-9.017,-38.447) 18.6192  18.6192  
130     -2.31611 -30.35553   6.78450 -54.21240 -20.28603 -36.13789     (-4.468,-28.039) (-42.960,-2.316) (-9.033,-38.454) 18.6046  18.6046  
131     -2.32181 -30.36913   6.76866 -54.18110 -20.26450 -36.13946     (-4.447,-28.047) (-42.966,-2.322) (-9.049,-38.461) 18.5903  18.5903  
132     -2.32750 -30.38272   6.75283 -54.14980 -20.24297 -36.14104     (-4.425,-28.055) (-42.972,-2.328) (-9.065,-38.469) 18.5761  18.5761  
133     -2.33320 -30.39632   6.73700 -54.11850 -20.22144 -36.14262     (-4.404,-28.063) (-42.978,-2.333) (-9.081,-38.476) 18.5621  18.5621  
134     -2.33890 -30.40992   6.72116 -54.08720 -20.19990 -36.14419     (-4.382,-28.071) (-42.984,-2.339) (-9.096,-38.483) 18.5483  18.5483  
135     -2.34460 -30.42351   6.70533 -54.05590 -20.17837 -36.14577     (-4.361,-28.079) (-42.990,-2.345) (-9.112,-38.490) 18.5347  18.5347  
136     -2.35030 -30.43711   6.68949 -54.02460 -20.15684 -36.14735     (-4.339,-28.087) (-42.996,-2.350) (-9.128,-38.498) 18.5212  18.5212  
137     -2.35599 -30.45071   6.67366 -53.99330 -20.13531 -36.14892     (-4.318,-28.095) (-43.002,-2.356) (-9.144,-38.505) 18.5079  18.5079  
138     -2.36169 -30.46431   6.65783 -53.96200 -20.11378 -36.15050     (-4.296,-28.103) (-43.008,-2.362) (-9.160,-38.512) 18.4948  18.4948  
139     -2.36739 -30.47790   6.64199 -53.93070 -20.09225 -36.15208     (-4.275,-28.111) (-43.014,-2.367) (-9.176,-38.519) 18.4819  18.4819  
140     -2.37309 -30.49150   6.62616 -53.89940 -20.07072 -36.15365     (-4.253,-28.118) (-43.020,-2.373) (-9.191,-38.527) 18.4692  18.4692  
141     -2.37878 -30.50510   6.61033 -53.86810 -20.04919 -36.15523     (-4.232,-28.126) (-43.026,-2.379) (-9.207,-38.534) 18.4566  18.4566  
142     -2.38448 -30.51869   6.59449 -53.83680 -20.02765 -36.15681     (-4.210,-28.134) (-43.032,-2.384) (-9.223,-38.541) 18.4442  18.4442  
143     -2.39018 -30.53229   6.57866 -53.80550 -20.00612 -36.15839     (-4.188,-28.142) (-43.038,-2.390) (-9.239,-38.549) 18.432  18.432  
144     -2.39588 -30.54589   6.56283 -53.77420 -19.98459 -36.15996     (-4.167,-28.150) (-43.044,-2.396) (-9.255,-38.556) 18.42  18.42  
145     -2.40157 -30.55948   6.54699 -53.74290 -19.96306 -36.16154     (-4.145,-28.158) (-43.050,-2.402) (-9.271,-38.563) 18.4082  18.4082  
146     -2.40727 -30.57308   6.53116 -53.71160 -19.94153 -36.16312     (-4.124,-28.166) (-43.057,-2.407) (-9.286,-38.570) 18.3966  18.3966  
147     -2.41297 -30.58668   6.51533 -53.68030 -19.92000 -36.16469     (-4.102,-28.174) (-43.063,-2.413) (-9.302,-38.578) 18.3851  18.3851  
148     -2.41867 -30.60027   6.49949 -53.64900 -19.89847 -36.16627     (-4.081,-28.182) (-43.069,-2.419) (-9.318,-38.585) 18.3738  18.3738  
149     -2.42437 -30.61387   6.48366 -53.61770 -19.87694 -36.16785     (-4.059,-28.190) (-43.075,-2.424) (-9.334,-38.592) 18.3627  18.3627  
150     -2.43006 -30.62747   6.46783 -53.58640 -19.85541 -36.16942     (-4.038,-28.197) (-43.081,-2.430) (-9.350,-38.599) 18.3518  18.3518  
151     -2.43576 -30.64106   6.45199 -53.55510 -19.83387 -36.17100     (-4.016,-28.205) (-43.087,-2.436) (-9.366,-38.607) 18.3411  18.3411  
152     -2.44146 -30.65466   6.43616 -53.52380 -19.81234 -36.17258     (-3.995,-28.213) (-43.093,-2.441) (-9.381,-38.614) 18.3306  18.3306  
153     -2.44716 -30.66826   6.42033 -53.49250 -19.79081 -36.17416     (-3.973,-28.221) (-43.099,-2.447) (-9.397,-38.621) 18.3202  18.3202  
154     -2.45285 -30.68185   6.40449 -53.46120 -19.76928 -36.17573     (-3.952,-28.229) (-43.105,-2.453) (-9.413,-38.629) 18.31  18.31  
155     -2.45855 -30.69545   6.38866 -53.42990 -19.74775 -36.17731     (-3.930,-28.237) (-43.111,-2.459) (-9.429,-38.636) 18.3001  18.3001  
156     -2.46425 -30.70905   6.37283 -53.39860 -19.72622 -36.17889     (-3.909,-28.245) (-43.117,-2.464) (-9.445,-38.643) 18.2903  18.2903  
157     -2.46995 -30.72264   6.35699 -53.36730 -19.70469 -36.18046     (-3.887,-28.253) (-43.123,-2.470) (-9.461,-38.650) 18.2807  18.2807  
158     -2.47565 -30.73624   6.34116 -53.33599 -19.68316 -36.18204     (-3.866,-28.261) (-43.129,-2.476) (-9.476,-38.658) 18.2713  18.2713  
159     -2.48134 -30.74984   6.32532 -53.30469 -19.66162 -36.18362     (-3.844,-28.268) (-43.135,-2.481) (-9.492,-38.665) 18.262  18.262  
160     -2.48704 -30.76343   6.30949 -53.27339 -19.64009 -36.18519     (-3.822,-28.276) (-43.141,-2.487) (-9.508,-38.672) 18.253  18.253  
161     -2.49274 -30.77703   6.29366 -53.24209 -19.61856 -36.18677     (-3.801,-28.284) (-43.148,-2.493) (-9.524,-38.680) 18.2441  18.2441  
162     -2.49844 -30.79063   6.27782 -53.21079 -19.59703 -36.18835     (-3.779,-28.292) (-43.154,-2.498) (-9.540,-38.687) 18.2355  18.2355  
163     -2.50413 -30.80422   6.26199 -53.17949 -19.57550 -36.18993     (-3.758,-28.300) (-43.160,-2.504) (-9.556,-38.694) 18.227  18.227  
164     -2.50983 -30.81782   6.24616 -53.14819 -19.55397 -36.19150     (-3.736,-28.308) (-43.166,-2.510) (-9.571,-38.701) 18.2187  18.2187  
165     -2.51553 -30.83142   6.23032 -53.11689 -19.53244 -36.19308     (-3.715,-28.316) (-43.172,-2.516) (-9.587,-38.709) 18.2106  18.2106  
166     -2.52123 -30.84501   6.21449 -53.08559 -19.51091 -36.19466     (-3.693,-28.324) (-43.178,-2.521) (-9.603,-38.716) 18.2027  18.2027  
167     -2.52693 -30.85861   6.19866 -53.05429 -19.48937 -36.19623     (-3.672,-28.332) (-43.184,-2.527) (-9.619,-38.723) 18.1949  18.1949  
