PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.16_57_52.0_4.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
69    -31.18006 -15.72692 -15.52348  -1.78237 -27.91772  -1.00587     (-31.180,-1.782) (-15.727,-27.918) (-15.523,-1.006)      25.0163  38.0445  35.4027  25.0163  
70    -31.66403 -15.24813 -15.16151  -1.79614 -28.23497  -1.00069     (-31.664,-1.796) (-15.248,-28.235) (-15.162,-1.001)      24.1824  37.6703  34.2226  24.1824  
71    -32.14800 -14.76934 -14.79954  -1.80991 -28.55222  -0.99551     (-32.148,-1.810) (-14.769,-28.552) (-14.800,-0.996)      23.3485  36.5922  33.0425  23.3485  
72    -32.63196 -14.29055 -14.43757  -1.82368 -28.86946  -0.99033     (-32.632,-1.824) (-14.291,-28.869) (-14.438,-0.990)      22.5146  35.2854  31.8624  22.5146  
73    -33.11593 -13.81177 -14.07560  -1.83745 -29.18671  -0.98515     (-33.116,-1.837) (-13.812,-29.187) (-14.076,-0.985)      21.6808  33.9785  30.6823  21.6808  
74    -33.59990 -13.33298 -13.71363  -1.85122 -29.50396  -0.97997     (-33.600,-1.851) (-13.333,-29.504) (-13.714,-0.980)      20.8469  32.6716  29.5022  20.8469  
75    -34.08387 -12.85419 -13.35166  -1.86499 -29.82121  -0.97479     (-34.084,-1.865) (-12.854,-29.821) (-13.352,-0.975)      20.013  31.3648  28.3222  20.013  
76    -34.56784 -12.37540 -12.98969  -1.87876 -30.13845  -0.96961     (-34.568,-1.879) (-12.375,-30.138) (-12.990,-0.970)      19.1791  30.0579  27.1421  19.1791  
77    -35.05180 -11.89661 -12.62772  -1.89253 -30.45570  -0.96443     (-35.052,-1.893) (-11.897,-30.456) (-12.628,-0.964)      18.3453  28.7511  25.962  18.3453  
78    -35.53577 -11.41782 -12.26575  -1.90630 -30.77295  -0.95925     (-35.536,-1.906) (-11.418,-30.773) (-12.266,-0.959)      17.5114  27.4442  24.7819  17.5114  
79    -36.01974 -10.93903 -11.90378  -1.92007 -31.09019  -0.95407     (-36.020,-1.920) (-10.939,-31.090) (-11.904,-0.954)      16.6775  26.1373  23.6018  16.6775  
80    -36.50371 -10.46025 -11.54181  -1.93384 -31.40744  -0.94889     (-36.504,-1.934) (-10.460,-31.407) (-11.542,-0.949)      15.8436  24.8305  22.4217  15.8436  
81    -36.98768  -9.98146 -11.17984  -1.94761 -31.72469  -0.94371     (-36.988,-1.948) (-9.981,-31.725) (-11.180,-0.944)      15.0098  23.5236  21.2416  15.0098  
82    -37.47165  -9.50267 -10.81787  -1.96138 -32.04194  -0.93853     (-37.472,-1.961) (-9.503,-32.042) (-10.818,-0.939)      14.1759  22.2167  20.0615  14.1759  
83    -37.95561  -9.02388 -10.45590  -1.97515 -32.35918  -0.93336     (-37.956,-1.975) (-9.024,-32.359) (-10.456,-0.933)      13.342  20.9099  18.8814  13.342  
84    -38.43958  -8.54509 -10.09393  -1.98892 -32.67643  -0.92818     (-38.440,-1.989) (-8.545,-32.676) (-10.094,-0.928)      12.5081  19.603  17.7013  12.5081  
85    -38.92355  -8.06630  -9.73197  -2.00269 -32.99368  -0.92300     (-38.924,-2.003) (-8.066,-32.994) (-9.732,-0.923)      11.6743  18.2961  16.5213  11.6743  
86    -39.40752  -7.58751  -9.37000  -2.01646 -33.31093  -0.91782     (-39.408,-2.016) (-7.588,-33.311) (-9.370,-0.918)      10.8404  16.9893  15.3412  10.8404  
87    -39.89149  -7.10873  -9.00803  -2.03023 -33.62817  -0.91264     (-39.891,-2.030) (-7.109,-33.628) (-9.008,-0.913)      10.0065  15.6824  14.1611  10.0065  
88    -40.37545  -6.62994  -8.64606  -2.04400 -33.94542  -0.90746     (-40.375,-2.044) (-6.630,-33.945) (-8.646,-0.907)      9.17263  14.3755  12.981  9.17263  
