PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  39   CS6Dist 7   LMDist  33179
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
89    -55.29133 -55.04034 -44.73758  -4.20742   1.57448  -8.96416     (-43.163,-2.633) (-56.615,-1.574) (-53.717,-7.390)      53.8861  53.8861  53.8861  
90    -55.47016 -55.17740 -45.31888  -4.23822   1.72105  -9.09075     (-43.598,-2.517) (-56.898,-1.721) (-53.749,-7.370)      54.3463  54.3463  54.3463  
91    -55.64900 -55.31446 -45.90019  -4.26902   1.86763  -9.21734     (-44.033,-2.401) (-57.182,-1.868) (-53.781,-7.350)      54.8082  54.8082  54.8082  
92    -55.82783 -55.45153 -46.48149  -4.29981   2.01420  -9.34392     (-44.467,-2.286) (-57.466,-2.014) (-53.814,-7.330)      55.2718  55.2718  55.2718  
93    -56.00667 -55.58859 -47.06279  -4.33061   2.16077  -9.47051     (-44.902,-2.170) (-57.749,-2.161) (-53.846,-7.310)      55.7371  55.7371  55.7371  
94    -56.18550 -55.72565 -47.64409  -4.36140   2.30734  -9.59709     (-45.337,-2.054) (-58.033,-2.307) (-53.878,-7.290)      56.2039  56.2039  56.2039  
95    -56.36433 -55.86272 -48.22539  -4.39220   2.45391  -9.72368     (-45.771,-1.938) (-58.317,-2.454) (-53.910,-7.270)      56.6722  56.6722  56.6722  
96    -56.54317 -55.99978 -48.80670  -4.42300   2.60049  -9.85027     (-46.206,-1.823) (-58.600,-2.600) (-53.943,-7.250)      57.1421  57.1421  57.1421  
97    -56.72200 -56.13684 -49.38800  -4.45379   2.74706  -9.97685     (-46.641,-1.707) (-58.884,-2.747) (-53.975,-7.230)      57.6135  57.6135  57.6135  
98    -56.90083 -56.27391 -49.96930  -4.48459   2.89363 -10.10344     (-47.076,-1.591) (-59.168,-2.894) (-54.007,-7.210)      58.0863  58.0863  58.0863  
99    -57.07967 -56.41097 -50.55060  -4.51538   3.04020 -10.23003     (-47.510,-1.475) (-59.451,-3.040) (-54.039,-7.190)      58.5605  58.5605  58.5605  
PointDistanceFollower   May  5 2020   mode =  LINE3 
Fol_.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  3681   CS6Dist 62   LMDist  1.1633e+06
PointDistanceFollower  May  5 2020  mode = LINE3
Fol_.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
0    -42.53394 -35.20304   2.16007  -6.00530  -9.85496  -2.05465     (-40.374,-33.043) (-3.845,-7.695) (-2.160,-4.215)      0  0  0  
1    -42.66955 -35.43892   1.64106  -5.98550  -9.77770  -2.11981     (-41.028,-33.798) (-4.344,-8.137) (-1.641,-3.761)      1.38495  1.38495  1.38495  
2    -42.80515 -35.67480   1.12206  -5.96569  -9.70044  -2.18496     (-41.683,-34.553) (-4.844,-8.578) (-1.122,-3.307)      2.76989  2.76989  2.76989  
3    -42.94075 -35.91069   0.60305  -5.94589  -9.62318  -2.25011     (-42.338,-35.308) (-5.343,-9.020) (-0.603,-2.853)      4.15484  3.15035  4.15484  
4    -43.07636 -36.14657   0.08404  -5.92609  -9.54592  -2.31527     (-42.992,-36.063) (-5.842,-9.462) (-0.084,-2.399)      5.53978  2.51605  5.53978  
5    -43.21196 -36.38245  -0.43497  -5.90629  -9.46866  -2.38042     (-43.212,-5.906) (-36.382,-9.469) (-0.435,-2.380)      6.05806  3.03916  2.97491     glitch
6    -43.34757 -36.61834  -0.95397  -5.88648  -9.39140  -2.44557     (-43.348,-5.886) (-36.618,-9.391) (-0.954,-2.446)      6.44191  3.73117  3.5699  
7    -43.48317 -36.85422  -1.47298  -5.86668  -9.31414  -2.51073     (-43.483,-5.867) (-36.854,-9.314) (-1.473,-2.511)      6.85597  4.44166  4.16488  
8    -43.61878 -37.09011  -1.99199  -5.84688  -9.23688  -2.57588     (-43.619,-5.847) (-37.090,-9.237) (-1.992,-2.576)      7.2951  5.1673  4.75986  
9    -43.75438 -37.32599  -2.51100  -5.82707  -9.15962  -2.64103     (-43.754,-5.827) (-37.326,-9.160) (-2.511,-2.641)      7.75504  5.78783  5.35485  
10    -43.88998 -37.56187  -3.03000  -5.80727  -9.08236  -2.70619     (-43.890,-5.807) (-37.562,-9.082) (-3.030,-2.706)      8.2323  6.36061  5.94983  
11    -44.02559 -37.79776  -3.54901  -5.78747  -9.00510  -2.77134     (-44.026,-5.787) (-37.798,-9.005) (-3.549,-2.771)      8.72405  6.93882  6.54481  
12    -44.16119 -38.03364  -4.06802  -5.76766  -8.92784  -2.83649     (-44.161,-5.768) (-38.034,-8.928) (-4.068,-2.836)      9.22796  7.5207  7.13979  
13    -44.29680 -38.26953  -4.58703  -5.74786  -8.85058  -2.90165     (-44.297,-5.748) (-38.270,-8.851) (-4.587,-2.902)      9.74214  8.10517  7.73478  
14    -44.43240 -38.50541  -5.10603  -5.72806  -8.77332  -2.96680     (-44.432,-5.728) (-38.505,-8.773) (-5.106,-2.967)      10.2651  8.69155  8.32976  
15    -44.56800 -38.74129  -5.62504  -5.70826  -8.69606  -3.03195     (-44.568,-5.708) (-38.741,-8.696) (-5.625,-3.032)      10.7955  9.27935  8.92474  
16    -44.70361 -38.97718  -6.14405  -5.68845  -8.61880  -3.09711     (-44.704,-5.688) (-38.977,-8.619) (-6.144,-3.097)      11.3323  9.86825  9.51972  
17    -44.83921 -39.21306  -6.66305  -5.66865  -8.54154  -3.16226     (-44.839,-5.669) (-39.213,-8.542) (-6.663,-3.162)      11.8746  10.458  10.1147  
18    -44.97482 -39.44895  -7.18206  -5.64885  -8.46428  -3.22741     (-44.975,-5.649) (-39.449,-8.464) (-7.182,-3.227)      12.4218  11.0485  10.7097  
19    -45.11042 -39.68483  -7.70107  -5.62904  -8.38702  -3.29256     (-45.110,-5.629) (-39.685,-8.387) (-7.701,-3.293)      12.9732  11.6395  11.3047  
20    -45.24603 -39.92071  -8.22008  -5.60924  -8.30976  -3.35772     (-45.246,-5.609) (-39.921,-8.310) (-8.220,-3.358)      13.5282  12.231  11.8997  
21    -45.38163 -40.15660  -8.73908  -5.58944  -8.23250  -3.42287     (-45.382,-5.589) (-40.157,-8.233) (-8.739,-3.423)      14.0866  12.8229  12.4946  
22    -45.51723 -40.39248  -9.25809  -5.56963  -8.15524  -3.48802     (-45.517,-5.570) (-40.392,-8.155) (-9.258,-3.488)      14.6478  13.4151  13.0896  
23    -45.65284 -40.62836  -9.77710  -5.54983  -8.07798  -3.55318     (-45.653,-5.550) (-40.628,-8.078) (-9.777,-3.553)      15.2116  14.0076  13.6846  
24    -45.78844 -40.86425 -10.29611  -5.53003  -8.00072  -3.61833     (-45.788,-5.530) (-40.864,-8.001) (-10.296,-3.618)      15.7776  14.6003  14.2796  
25    -45.92405 -41.10013 -10.81511  -5.51022  -7.92346  -3.68348     (-45.924,-5.510) (-41.100,-7.923) (-10.815,-3.683)      16.3458  15.1933  14.8746  
26    -46.05965 -41.33602 -11.33412  -5.49042  -7.84620  -3.74864     (-46.060,-5.490) (-41.336,-7.846) (-11.334,-3.749)      16.9158  15.7864  15.4696  
27    -46.19526 -41.57190 -11.85313  -5.47062  -7.76894  -3.81379     (-46.195,-5.471) (-41.572,-7.769) (-11.853,-3.814)      17.4874  16.3796  16.0645  
28    -46.33086 -41.80778 -12.37214  -5.45082  -7.69168  -3.87894     (-46.331,-5.451) (-41.808,-7.692) (-12.372,-3.879)      18.0605  16.973  16.6595  
29    -46.46646 -42.04367 -12.89114  -5.43101  -7.61442  -3.94410     (-46.466,-5.431) (-42.044,-7.614) (-12.891,-3.944)      18.6351  17.5666  17.2545  
30    -46.60207 -42.27955 -13.41015  -5.41121  -7.53716  -4.00925     (-46.602,-5.411) (-42.280,-7.537) (-13.410,-4.009)      19.2108  18.1602  17.8495  
31    -46.73767 -42.51544 -13.92916  -5.39141  -7.45990  -4.07440     (-46.738,-5.391) (-42.515,-7.460) (-13.929,-4.074)      19.7877  18.7539  18.4445  
32    -46.87328 -42.75132 -14.44816  -5.37160  -7.38264  -4.13956     (-46.873,-5.372) (-42.751,-7.383) (-14.448,-4.140)      20.3657  19.3478  19.0394  
33    -47.00888 -42.98720 -14.96717  -5.35180  -7.30538  -4.20471     (-47.009,-5.352) (-42.987,-7.305) (-14.967,-4.205)      20.9446  19.9417  19.6344  
34    -47.14449 -43.22309 -15.48618  -5.33200  -7.22812  -4.26986     (-47.144,-5.332) (-43.223,-7.228) (-15.486,-4.270)      21.5243  20.5356  20.2294  
35    -47.28009 -43.45897 -16.00519  -5.31219  -7.15087  -4.33502     (-47.280,-5.312) (-43.459,-7.151) (-16.005,-4.335)      22.1049  21.1297  20.8244  
36    -47.41569 -43.69486 -16.52419  -5.29239  -7.07361  -4.40017     (-47.416,-5.292) (-43.695,-7.074) (-16.524,-4.400)      22.6863  21.7237  21.4194  
37    -47.55130 -43.93074 -17.04320  -5.27259  -6.99635  -4.46532     (-47.551,-5.273) (-43.931,-6.996) (-17.043,-4.465)      23.2683  22.3179  22.0144  
38    -47.68690 -44.16662 -17.56221  -5.25279  -6.91909  -4.53048     (-47.687,-5.253) (-44.167,-6.919) (-17.562,-4.530)      23.8509  22.9121  22.6093  
39    -47.82251 -44.40251 -18.08122  -5.23298  -6.84183  -4.59563     (-47.823,-5.233) (-44.403,-6.842) (-18.081,-4.596)      24.4342  23.5063  23.2043  
40    -47.95811 -44.63839 -18.60022  -5.21318  -6.76457  -4.66078     (-47.958,-5.213) (-44.638,-6.765) (-18.600,-4.661)      25.018  24.1006  23.7993  
41    -48.09372 -44.87427 -19.11923  -5.19338  -6.68731  -4.72594     (-48.094,-5.193) (-44.874,-6.687) (-19.119,-4.726)      25.6023  24.6949  24.3943  
42    -48.22932 -45.11016 -19.63824  -5.17357  -6.61005  -4.79109     (-48.229,-5.174) (-45.110,-6.610) (-19.638,-4.791)      26.1871  25.2892  24.9893  
43    -48.36492 -45.34604 -20.15725  -5.15377  -6.53279  -4.85624     (-48.365,-5.154) (-45.346,-6.533) (-20.157,-4.856)      26.7724  25.8836  25.5602  
44    -48.50053 -45.58193 -20.67625  -5.13397  -6.45553  -4.92140     (-48.501,-5.134) (-45.582,-6.456) (-20.676,-4.921)      27.358  26.478  25.9835  
45    -48.63613 -45.81781 -21.19526  -5.11416  -6.37827  -4.98655     (-48.636,-5.114) (-45.818,-6.378) (-21.195,-4.987)      27.9441  27.0725  26.4134  
46    -48.77174 -46.05369 -21.71427  -5.09436  -6.30101  -5.05170     (-48.772,-5.094) (-46.054,-6.301) (-21.714,-5.052)      28.5305  27.6669  26.8496  
47    -48.90734 -46.28958 -22.23327  -5.07456  -6.22375  -5.11686     (-48.907,-5.075) (-46.290,-6.224) (-22.233,-5.117)      29.1173  28.2614  27.2918  
