PointDistanceFollower   Jul 16 2018   mode =  Single Point 
Fol_2018-07-17.10_22_03.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist D7Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   310   NCDist   1488   D7Dist   699   CS6Dist  9
PointDistanceFollower  Jul 16 2018  mode = Single Point
Fol_2018-07-17.10_22_03.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
53    -22.85439 -22.75326 -23.47773  -1.93191 -23.91775  -1.13024     (-22.854,-1.932) (-22.753,-23.918) (-23.478,-1.130)      35.4979  44.8413  50.2673  35.4979  
54    -23.32649 -22.26779 -23.14367  -1.93617 -24.20803  -1.14360     (-23.326,-1.936) (-22.268,-24.208) (-23.144,-1.144)      35.2609  44.7425  49.9298  35.2609  
55    -23.79859 -21.78233 -22.80962  -1.94043 -24.49830  -1.15697     (-23.799,-1.940) (-21.782,-24.498) (-22.810,-1.157)      34.4876  43.8644  48.8348  34.4876  
56    -24.27069 -21.29686 -22.47557  -1.94469 -24.78858  -1.17034     (-24.271,-1.945) (-21.297,-24.789) (-22.476,-1.170)      33.716  43.0079  47.7422  33.716  
57    -24.74279 -20.81139 -22.14151  -1.94895 -25.07886  -1.18370     (-24.743,-1.949) (-20.811,-25.079) (-22.142,-1.184)      32.9462  42.1745  46.6521  32.9462  
58    -25.21489 -20.32592 -21.80746  -1.95321 -25.36913  -1.19707     (-25.215,-1.953) (-20.326,-25.369) (-21.807,-1.197)      32.1784  41.3654  45.5647  32.1784  
59    -25.68699 -19.84046 -21.47341  -1.95747 -25.65941  -1.21044     (-25.687,-1.957) (-19.840,-25.659) (-21.473,-1.210)      31.4126  40.5822  44.4803  31.4126  
60    -26.15909 -19.35499 -21.13936  -1.96173 -25.94969  -1.22381     (-26.159,-1.962) (-19.355,-25.950) (-21.139,-1.224)      30.649  39.8263  43.399  30.649  
61    -26.63119 -18.86952 -20.80530  -1.96599 -26.23997  -1.23717     (-26.631,-1.966) (-18.870,-26.240) (-20.805,-1.237)      29.8879  39.0994  42.3211  29.8879  
62    -27.10329 -18.38406 -20.47125  -1.97025 -26.53024  -1.25054     (-27.103,-1.970) (-18.384,-26.530) (-20.471,-1.251)      29.1293  38.4031  41.2469  29.1293  
63    -27.57539 -17.89859 -20.13720  -1.97451 -26.82052  -1.26391     (-27.575,-1.975) (-17.899,-26.821) (-20.137,-1.264)      28.3735  37.739  40.1766  28.3735  
64    -28.04749 -17.41312 -19.80315  -1.97877 -27.11080  -1.27728     (-28.047,-1.979) (-17.413,-27.111) (-19.803,-1.277)      27.6207  37.109  39.1105  27.6207  
65    -28.51959 -16.92765 -19.46909  -1.98303 -27.40107  -1.29064     (-28.520,-1.983) (-16.928,-27.401) (-19.469,-1.291)      26.8712  36.5148  38.0491  26.8712  
66    -28.99169 -16.44219 -19.13504  -1.98729 -27.69135  -1.30401     (-28.992,-1.987) (-16.442,-27.691) (-19.135,-1.304)      26.1252  35.9581  36.9927  26.1252  
67    -29.46379 -15.95672 -18.80099  -1.99155 -27.98163  -1.31738     (-29.464,-1.992) (-15.957,-27.982) (-18.801,-1.317)      25.3832  35.4408  35.9417  25.3832  
68    -29.93589 -15.47125 -18.46693  -1.99581 -28.27190  -1.33074     (-29.936,-1.996) (-15.471,-28.272) (-18.467,-1.331)      24.6453  34.9645  34.8967  24.6453  
69    -30.40799 -14.98579 -18.13288  -2.00007 -28.56218  -1.34411     (-30.408,-2.000) (-14.986,-28.562) (-18.133,-1.344)      23.912  34.531  33.8583  23.912  
70    -30.88009 -14.50032 -17.79883  -2.00433 -28.85246  -1.35748     (-30.880,-2.004) (-14.500,-28.852) (-17.799,-1.357)      23.1838  34.142  32.8269  23.1838  
71    -31.35219 -14.01485 -17.46478  -2.00859 -29.14273  -1.37085     (-31.352,-2.009) (-14.015,-29.143) (-17.465,-1.371)      22.4611  33.7988  31.8034  22.4611  
72    -31.82429 -13.52938 -17.13072  -2.01285 -29.43301  -1.38421     (-31.824,-2.013) (-13.529,-29.433) (-17.131,-1.384)      21.7446  33.503  30.7884  21.7446  
73    -32.29639 -13.04392 -16.79667  -2.01711 -29.72329  -1.39758     (-32.296,-2.017) (-13.044,-29.723) (-16.797,-1.398)      21.0347  33.2558  29.783  21.0347  
74    -32.76849 -12.55845 -16.46262  -2.02137 -30.01357  -1.41095     (-32.768,-2.021) (-12.558,-30.014) (-16.463,-1.411)      20.2269  32.6243  28.6393  20.2269  
75    -33.24059 -12.07298 -16.12857  -2.02563 -30.30384  -1.42432     (-33.241,-2.026) (-12.073,-30.304) (-16.129,-1.424)      19.4178  31.3193  27.4937  19.4178  
76    -33.71269 -11.58751 -15.79451  -2.02989 -30.59412  -1.43768     (-33.713,-2.030) (-11.588,-30.594) (-15.795,-1.438)      18.6088  30.0144  26.3481  18.6088  
77    -34.18479 -11.10205 -15.46046  -2.03415 -30.88440  -1.45105     (-34.185,-2.034) (-11.102,-30.884) (-15.460,-1.451)      17.7997  28.7094  25.2026  17.7997  
78    -34.65689 -10.61658 -15.12641  -2.03841 -31.17467  -1.46442     (-34.657,-2.038) (-10.617,-31.175) (-15.126,-1.464)      16.9906  27.4044  24.057  16.9906  
79    -35.12899 -10.13111 -14.79235  -2.04267 -31.46495  -1.47778     (-35.129,-2.043) (-10.131,-31.465) (-14.792,-1.478)      16.1815  26.0995  22.9114  16.1815  
80    -35.60109  -9.64565 -14.45830  -2.04693 -31.75523  -1.49115     (-35.601,-2.047) (-9.646,-31.755) (-14.458,-1.491)      15.3725  24.7945  21.7659  15.3725  
81    -36.07319  -9.16018 -14.12425  -2.05119 -32.04550  -1.50452     (-36.073,-2.051) (-9.160,-32.046) (-14.124,-1.505)      14.5634  23.4895  20.6203  14.5634  
82    -36.54529  -8.67471 -13.79020  -2.05545 -32.33578  -1.51789     (-36.545,-2.055) (-8.675,-32.336) (-13.790,-1.518)      13.7543  22.1845  19.4747  13.7543  
83    -37.01739  -8.18924 -13.45614  -2.05972 -32.62606  -1.53125     (-37.017,-2.060) (-8.189,-32.626) (-13.456,-1.531)      12.9452  20.8796  18.3291  12.9452  
84    -37.48949  -7.70378 -13.12209  -2.06398 -32.91634  -1.54462     (-37.489,-2.064) (-7.704,-32.916) (-13.122,-1.545)      12.1362  19.5746  17.1836  12.1362  
85    -37.96159  -7.21831 -12.78804  -2.06824 -33.20661  -1.55799     (-37.962,-2.068) (-7.218,-33.207) (-12.788,-1.558)      11.3271  18.2696  16.038  11.3271  
86    -38.43369  -6.73284 -12.45399  -2.07250 -33.49689  -1.57136     (-38.434,-2.072) (-6.733,-33.497) (-12.454,-1.571)      10.518  16.9646  14.8924  10.518  
87    -38.90579  -6.24738 -12.11993  -2.07676 -33.78717  -1.58472     (-38.906,-2.077) (-6.247,-33.787) (-12.120,-1.585)      9.70892  15.6597  13.7469  9.70892  
