PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.1_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  65   CS6Dist 6   LMDist  104243
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
78      0.49493  -3.42114 -38.15503  -2.24520  -9.48532 -15.02144     (-0.495,-2.740) (-2.926,-37.660) (-8.990,-14.527)      26.5407  25.2982  23.8204  
79      1.06253  -3.47800 -38.38762  -2.13341  -9.86095 -14.88086     (-1.063,-3.196) (-2.415,-37.325) (-8.798,-13.818)      25.9433  25.4689  23.5401  
80      1.63012  -3.53487 -38.62020  -2.02163 -10.23657 -14.74028     (-1.630,-3.652) (-1.905,-36.990) (-8.606,-13.110)      25.3772  25.3885  23.3542  
81      2.19771  -3.59173 -38.85279  -1.90985 -10.61220 -14.59970     (-2.198,-4.108) (-1.394,-36.655) (-8.414,-12.402)      24.813  24.8794  23.2648  
82      2.76531  -3.64859 -39.08537  -1.79806 -10.98782 -14.45912     (-2.765,-4.563) (-0.883,-36.320) (-8.223,-11.694)      24.2951  24.4188  23.2732  
83      3.33290  -3.70545 -39.31796  -1.68628 -11.36345 -14.31854     (-3.333,-5.019) (-0.373,-35.985) (-8.031,-10.986)      23.8264  24.0094  23.3792  
84      3.90049  -3.76232 -39.55055  -1.57449 -11.73907 -14.17795     (-10.139,-5.337) (-0.138,-35.788) (-7.700,-3.762)      23.5815  23.5815  23.5815  
85      4.46809  -3.81918 -39.78313  -1.46271 -12.11470 -14.03737     (-8.920,-5.282) (-0.649,-35.964) (-6.998,-3.819)      23.8776  23.8776  23.3548  
86      5.03568  -3.87604 -40.01572  -1.35092 -12.49032 -13.89679     (-7.701,-5.227) (-1.160,-36.140) (-6.295,-3.876)      24.2642  24.2642  23.1143  
87      5.60327  -3.93291 -40.24830  -1.23914 -12.86595 -13.75621     (-6.483,-5.172) (-1.670,-36.315) (-5.592,-3.933)      24.7369  24.7369  22.9341  
