Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
94    -37.82454 -114.87380 768.49124 -6884.45011 -1528.67736 -383.65236       (-730.667,-77.049) (-5385.292,-37.825) (-29.519,-421.477)      1080.07
95    -37.80264 -119.56898 767.61790 -6877.66405 -1527.08572 -383.32196       (-729.815,-81.766) (-5380.231,-37.803) (-29.653,-421.125)      1075.61
96    -37.78074 -124.26415 766.74456 -6870.87800 -1525.49407 -382.99155       (-728.964,-86.483) (-5375.170,-37.781) (-29.786,-420.772)      1071.17
97    -37.75884 -128.95933 765.87123 -6864.09194 -1523.90242 -382.66115       (-728.112,-91.200) (-5370.108,-37.759) (-29.919,-420.420)      1066.76
98    -37.73694 -133.65451 764.99789 -6857.30588 -1522.31078 -382.33075       (-727.261,-95.918) (-5365.047,-37.737) (-30.052,-420.068)      1062.38
99    -37.71504 -138.34968 764.12456 -6850.51983 -1520.71913 -382.00035       (-726.410,-100.635) (-5359.986,-37.715) (-30.185,-419.715)      1058.03
100    -37.69314 -143.04486 763.25122 -6843.73377 -1519.12749 -381.66994       (-725.558,-105.352) (-5354.924,-37.693) (-30.318,-419.363)      1053.7
101    -37.67124 -147.74004 762.37789 -6836.94772 -1517.53584 -381.33954       (-724.707,-110.069) (-5349.863,-37.671) (-30.451,-419.011)      1049.4
102    -37.64934 -152.43521 761.50455 -6830.16166 -1515.94419 -381.00914       (-723.855,-114.786) (-5344.802,-37.649) (-30.584,-418.658)      1045.13
103    -37.62744 -157.13039 760.63122 -6823.37560 -1514.35255 -380.67873       (-723.004,-119.503) (-5339.741,-37.627) (-30.718,-418.306)      1040.9
104    -37.60554 -161.82557 759.75788 -6816.58955 -1512.76090 -380.34833       (-722.152,-124.220) (-5334.679,-37.606) (-30.851,-417.954)      1036.69
105    -37.58364 -166.52074 758.88454 -6809.80349 -1511.16925 -380.01793       (-721.301,-128.937) (-5329.618,-37.584) (-30.984,-417.602)      1032.51
106    -37.56174 -171.21592 758.01121 -6803.01744 -1509.57761 -379.68753       (-720.449,-133.654) (-5324.557,-37.562) (-31.117,-417.249)      1028.36
107    -37.53984 -175.91109 757.13787 -6796.23138 -1507.98596 -379.35712       (-719.598,-138.371) (-5319.495,-37.540) (-31.250,-416.897)      1024.24
108    -37.51794 -180.60627 756.26454 -6789.44532 -1506.39431 -379.02672       (-718.747,-143.088) (-5314.434,-37.518) (-31.383,-416.545)      1020.16
