10PERCENT_2018-03-07.11_27_23.681_.txt     Output is probe cell, reduced cell, NCDist distance between
81    -11.42733   3.79900 -16.13503   5.35972 -56.18544  -0.06897       (-2.251,-2.182) (-3.177,-43.284) (-1.617,-1.647)      2.30558
82    -11.41528   3.79202 -16.12106   5.35274 -56.17026  -0.07229       (-2.241,-2.168) (-3.184,-43.296) (-1.624,-1.663)      2.3315
83    -11.40322   3.78503 -16.10709   5.34575 -56.15508  -0.07561       (-2.230,-2.154) (-3.191,-43.309) (-1.631,-1.679)      2.35748
84    -11.39117   3.77805 -16.09313   5.33877 -56.13990  -0.07893       (-2.219,-2.141) (-3.198,-43.322) (-1.638,-1.695)      2.38353
85    -11.37911   3.77107 -16.07916   5.33179 -56.12472  -0.08224       (-2.209,-2.127) (-3.205,-43.335) (-1.645,-1.710)      2.40963
86    -11.36706   3.76408 -16.06519   5.32480 -56.10954  -0.08556       (-2.198,-2.113) (-3.212,-43.347) (-1.652,-1.726)      2.43579
87    -11.35500   3.75710 -16.05123   5.31782 -56.09436  -0.08888       (-2.187,-2.099) (-3.219,-43.360) (-1.658,-1.742)      2.462
88    -11.34295   3.75012 -16.03726   5.31084 -56.07918  -0.09219       (-2.177,-2.085) (-3.226,-43.373) (-1.665,-1.758)      2.48827
89    -11.33089   3.74314 -16.02330   5.30385 -56.06400  -0.09551       (-2.166,-2.071) (-3.233,-43.386) (-1.672,-1.774)      2.51459
90    -11.31884   3.73615 -16.00933   5.29687 -56.04883  -0.09883       (-2.156,-2.057) (-3.240,-43.398) (-1.679,-1.790)      2.54096
91    -11.30678   3.72917 -15.99536   5.28989 -56.03365  -0.10214       (-2.145,-2.043) (-3.247,-43.411) (-1.686,-1.806)      2.56738
92    -11.29473   3.72219 -15.98140   5.28290 -56.01847  -0.10546       (-2.134,-2.029) (-3.254,-43.424) (-1.693,-1.822)      2.59384
93    -11.28267   3.71520 -15.96743   5.27592 -56.00329  -0.10878       (-2.124,-2.015) (-3.261,-43.437) (-1.700,-1.837)      2.62036
94    -11.27062   3.70822 -15.95346   5.26894 -55.98811  -0.11210       (-2.113,-2.001) (-3.268,-43.449) (-1.707,-1.853)      2.64691
95    -11.25856   3.70124 -15.93950   5.26195 -55.97293  -0.11541       (-2.102,-1.987) (-3.275,-43.462) (-1.714,-1.869)      2.67351
96    -11.24651   3.69425 -15.92553   5.25497 -55.95775  -0.11873       (-2.092,-1.973) (-3.282,-43.475) (-1.721,-1.885)      2.70016
97    -11.23445   3.68727 -15.91156   5.24799 -55.94257  -0.12205       (-2.081,-1.959) (-3.289,-43.488) (-1.728,-1.901)      2.72684
98    -11.22240   3.68029 -15.89760   5.24100 -55.92739  -0.12536       (-2.070,-1.945) (-3.296,-43.500) (-1.735,-1.917)      2.75356
99    -11.21034   3.67330 -15.88363   5.23402 -55.91221  -0.12868       (-2.060,-1.931) (-3.303,-43.513) (-1.742,-1.933)      2.78032
100    -11.19829   3.66632 -15.86966   5.22704 -55.89703  -0.13200       (-2.049,-1.917) (-3.310,-43.526) (-1.749,-1.949)      2.80712
101    -11.18623   3.65934 -15.85570   5.22005 -55.88185  -0.13531       (-2.038,-1.903) (-3.317,-43.539) (-1.756,-1.964)      2.83395
102    -11.17418   3.65235 -15.84173   5.21307 -55.86667  -0.13863       (-2.028,-1.889) (-3.324,-43.551) (-1.763,-1.980)      2.86082
103    -11.16212   3.64537 -15.82776   5.20609 -55.85149  -0.14195       (-2.017,-1.875) (-3.331,-43.564) (-1.770,-1.996)      2.88773
104    -11.15007   3.63839 -15.81380   5.19910 -55.83631  -0.14527       (-2.006,-1.861) (-3.338,-43.577) (-1.777,-2.012)      2.91466
105    -11.13801   3.63140 -15.79983   5.19212 -55.82113  -0.14858       (-1.996,-1.847) (-3.345,-43.590) (-1.784,-2.028)      2.94163
106    -11.12596   3.62442 -15.78586   5.18514 -55.80595  -0.15190       (-1.985,-1.833) (-3.352,-43.602) (-1.791,-2.044)      2.9629
107    -11.11390   3.61744 -15.77190   5.17815 -55.79077  -0.15522       (-1.974,-1.819) (-3.359,-43.615) (-1.798,-2.060)      2.95035
108    -11.10185   3.61045 -15.75793   5.17117 -55.77559  -0.15853       (-1.964,-1.805) (-3.366,-43.628) (-1.805,-2.076)      2.93803
109    -11.08979   3.60347 -15.74396   5.16419 -55.76041  -0.16185       (-1.953,-1.791) (-3.373,-43.641) (-1.812,-2.092)      2.92594
110    -11.07774   3.59649 -15.73000   5.15720 -55.74523  -0.16517       (-1.943,-1.777) (-3.380,-43.653) (-1.819,-2.107)      2.91408
111    -11.06568   3.58950 -15.71603   5.15022 -55.73005  -0.16848       (-1.932,-1.763) (-3.387,-43.666) (-1.826,-2.123)      2.90245
112    -11.05363   3.58252 -15.70206   5.14324 -55.71487  -0.17180       (-1.921,-1.749) (-3.394,-43.679) (-1.833,-2.139)      2.89106
113    -11.04157   3.57554 -15.68810   5.13625 -55.69969  -0.17512       (-1.911,-1.735) (-3.401,-43.692) (-1.840,-2.155)      2.87991
114    -11.02952   3.56855 -15.67413   5.12927 -55.68451  -0.17844       (-1.900,-1.722) (-3.408,-43.704) (-1.847,-2.171)      2.86901
115    -11.01746   3.56157 -15.66016   5.12229 -55.66933  -0.18175       (-1.889,-1.708) (-3.415,-43.717) (-1.854,-2.187)      2.85835
116    -11.00541   3.55459 -15.64620   5.11530 -55.65415  -0.18507       (-1.879,-1.694) (-3.422,-43.730) (-1.861,-2.203)      2.84794
117    -10.99335   3.54760 -15.63223   5.10832 -55.63898  -0.18839       (-1.868,-1.680) (-3.429,-43.743) (-1.868,-2.219)      2.83778
118    -10.98130   3.54062 -15.61826   5.10134 -55.62380  -0.19170       (-1.857,-1.666) (-3.436,-43.755) (-1.875,-2.234)      2.82787
119    -10.96924   3.53364 -15.60430   5.09435 -55.60862  -0.19502       (-1.847,-1.652) (-3.443,-43.768) (-1.882,-2.250)      2.81822
120    -10.95719   3.52665 -15.59033   5.08737 -55.59344  -0.19834       (-1.836,-1.638) (-3.450,-43.781) (-1.889,-2.266)      2.80883
121    -10.94513   3.51967 -15.57636   5.08039 -55.57826  -0.20165       (-1.825,-1.624) (-3.457,-43.794) (-1.896,-2.282)      2.7997
122    -10.93308   3.51269 -15.56240   5.07340 -55.56308  -0.20497       (-1.815,-1.610) (-3.464,-43.806) (-1.903,-2.298)      2.79083
123    -10.92102   3.50570 -15.54843   5.06642 -55.54790  -0.20829       (-1.804,-1.596) (-3.471,-43.819) (-1.910,-2.314)      2.78223
124    -10.90897   3.49872 -15.53446   5.05944 -55.53272  -0.21161       (-1.793,-1.582) (-3.478,-43.832) (-1.917,-2.330)      2.7739
125    -10.89691   3.49174 -15.52050   5.05245 -55.51754  -0.21492       (-1.783,-1.568) (-3.485,-43.845) (-1.924,-2.346)      2.76584
126    -10.88486   3.48475 -15.50653   5.04547 -55.50236  -0.21824       (-1.772,-1.554) (-3.492,-43.857) (-1.931,-2.361)      2.75806
127    -10.87280   3.47777 -15.49256   5.03849 -55.48718  -0.22156       (-1.762,-1.540) (-3.499,-43.870) (-1.938,-2.377)      2.75055
128    -10.86075   3.47079 -15.47860   5.03150 -55.47200  -0.22487       (-1.751,-1.526) (-3.506,-43.883) (-1.945,-2.393)      2.74332
129    -10.84869   3.46380 -15.46463   5.02452 -55.45682  -0.22819       (-1.740,-1.512) (-3.513,-43.896) (-1.952,-2.409)      2.73638
130    -10.83664   3.45682 -15.45067   5.01754 -55.44164  -0.23151       (-1.730,-1.498) (-3.519,-43.909) (-1.959,-2.425)      2.72971
131    -10.82458   3.44984 -15.43670   5.01055 -55.42646  -0.23483       (-1.719,-1.484) (-3.526,-43.921) (-1.966,-2.441)      2.72333
132    -10.81253   3.44285 -15.42273   5.00357 -55.41128  -0.23814       (-1.708,-1.470) (-3.533,-43.934) (-1.973,-2.457)      2.71724
133    -10.80047   3.43587 -15.40877   4.99659 -55.39610  -0.24146       (-1.698,-1.456) (-3.540,-43.947) (-1.980,-2.473)      2.71144
134    -10.78842   3.42889 -15.39480   4.98960 -55.38092  -0.24478       (-1.687,-1.442) (-3.547,-43.960) (-1.987,-2.488)      2.70592
135    -10.77636   3.42190 -15.38083   4.98262 -55.36574  -0.24809       (-1.676,-1.428) (-3.554,-43.972) (-1.994,-2.504)      2.7007
136    -10.76431   3.41492 -15.36687   4.97564 -55.35056  -0.25141       (-1.666,-1.414) (-3.561,-43.985) (-2.001,-2.520)      2.69578
137    -10.75225   3.40794 -15.35290   4.96865 -55.33538  -0.25473       (-1.655,-1.400) (-3.568,-43.998) (-2.008,-2.536)      2.69115
138    -10.74019   3.40095 -15.33893   4.96167 -55.32020  -0.25804       (-1.644,-1.386) (-3.575,-44.011) (-2.015,-2.552)      2.68681
139    -10.72814   3.39397 -15.32497   4.95469 -55.30502  -0.26136       (-1.634,-1.372) (-3.582,-44.023) (-2.022,-2.568)      2.68278
140    -10.71608   3.38699 -15.31100   4.94770 -55.28984  -0.26468       (-1.623,-1.358) (-3.589,-44.036) (-2.029,-2.584)      2.67905
141    -10.70403   3.38000 -15.29703   4.94072 -55.27466  -0.26800       (-1.612,-1.344) (-3.596,-44.049) (-2.036,-2.600)      2.67562
142    -10.69197   3.37302 -15.28307   4.93374 -55.25948  -0.27131       (-1.602,-1.330) (-3.603,-44.062) (-2.043,-2.615)      2.67249
143    -10.67992   3.36604 -15.26910   4.92676 -55.24431  -0.27463       (-1.591,-1.316) (-3.610,-44.074) (-2.050,-2.631)      2.66966
144    -10.66786   3.35905 -15.25513   4.91977 -55.22913  -0.27795       (-1.580,-1.303) (-3.617,-44.087) (-2.057,-2.647)      2.66714
145    -10.65581   3.35207 -15.24117   4.91279 -55.21395  -0.28126       (-1.570,-1.289) (-3.624,-44.100) (-2.064,-2.663)      2.66493
146    -10.64375   3.34509 -15.22720   4.90581 -55.19877  -0.28458       (-1.559,-1.275) (-3.631,-44.113) (-2.071,-2.679)      2.66302
147    -10.63170   3.33810 -15.21323   4.89882 -55.18359  -0.28790       (-1.549,-1.261) (-3.638,-44.125) (-2.077,-2.695)      2.66142
148    -10.61964   3.33112 -15.19927   4.89184 -55.16841  -0.29121       (-1.538,-1.247) (-3.645,-44.138) (-2.084,-2.711)      2.66013
149    -10.60759   3.32414 -15.18530   4.88486 -55.15323  -0.29453       (-1.527,-1.233) (-3.652,-44.151) (-2.091,-2.727)      2.65914
150    -10.59553   3.31715 -15.17133   4.87787 -55.13805  -0.29785       (-1.517,-1.219) (-3.659,-44.164) (-2.098,-2.743)      2.65846
151    -10.58348   3.31017 -15.15737   4.87089 -55.12287  -0.30117       (-1.506,-1.205) (-3.666,-44.176) (-2.105,-2.758)      2.65809
152    -10.57142   3.30319 -15.14340   4.86391 -55.10769  -0.30448       (-1.495,-1.191) (-3.673,-44.189) (-2.112,-2.774)      2.65804
153    -10.55937   3.29620 -15.12943   4.85692 -55.09251  -0.30780       (-1.485,-1.177) (-3.680,-44.202) (-2.119,-2.790)      2.65828
154    -10.54731   3.28922 -15.11547   4.84994 -55.07733  -0.31112       (-1.474,-1.163) (-3.687,-44.215) (-2.126,-2.806)      2.65884
155    -10.53526   3.28224 -15.10150   4.84296 -55.06215  -0.31443       (-1.463,-1.149) (-3.694,-44.227) (-2.133,-2.822)      2.65971
156    -10.52320   3.27525 -15.08753   4.83597 -55.04697  -0.31775       (-1.453,-1.135) (-3.701,-44.240) (-2.140,-2.838)      2.66088
157    -10.51115   3.26827 -15.07357   4.82899 -55.03179  -0.32107       (-1.442,-1.121) (-3.708,-44.253) (-2.147,-2.854)      2.66237
158    -10.49909   3.26129 -15.05960   4.82201 -55.01661  -0.32438       (-1.431,-1.107) (-3.715,-44.266) (-2.154,-2.870)      2.66415
159    -10.48704   3.25430 -15.04563   4.81502 -55.00143  -0.32770       (-1.421,-1.093) (-3.722,-44.278) (-2.161,-2.885)      2.66625
160    -10.47498   3.24732 -15.03167   4.80804 -54.98625  -0.33102       (-1.410,-1.079) (-3.729,-44.291) (-2.168,-2.901)      2.66663
161    -10.46293   3.24034 -15.01770   4.80106 -54.97107  -0.33434       (-1.399,-1.065) (-3.736,-44.304) (-2.175,-2.917)      2.66556
162    -10.45087   3.23335 -15.00373   4.79407 -54.95589  -0.33765       (-1.389,-1.051) (-3.743,-44.317) (-2.182,-2.933)      2.6648
163    -10.43882   3.22637 -14.98977   4.78709 -54.94071  -0.34097       (-1.378,-1.037) (-3.750,-44.329) (-2.189,-2.949)      2.66435
164    -10.42676   3.21939 -14.97580   4.78011 -54.92553  -0.34429       (-1.367,-1.023) (-3.757,-44.342) (-2.196,-2.965)      2.6642
165    -10.41471   3.21240 -14.96183   4.77312 -54.91035  -0.34760       (-1.357,-1.009) (-3.764,-44.355) (-2.203,-2.981)      2.66437
166    -10.40265   3.20542 -14.94787   4.76614 -54.89517  -0.35092       (-1.346,-0.995) (-3.771,-44.368) (-2.210,-2.997)      2.66484
167    -10.39060   3.19844 -14.93390   4.75916 -54.87999  -0.35424       (-1.336,-0.981) (-3.778,-44.380) (-2.217,-3.012)      2.66562
168    -10.37854   3.19146 -14.91994   4.75217 -54.86481  -0.35755       (-1.325,-0.967) (-3.785,-44.393) (-2.224,-3.028)      2.6667
169    -10.36649   3.18447 -14.90597   4.74519 -54.84964  -0.36087       (-1.314,-0.953) (-3.792,-44.406) (-2.231,-3.044)      2.6681
170    -10.35443   3.17749 -14.89200   4.73821 -54.83446  -0.36419       (-1.304,-0.939) (-3.799,-44.419) (-2.238,-3.060)      2.6698
171    -10.34238   3.17051 -14.87804   4.73122 -54.81928  -0.36751       (-1.293,-0.925) (-3.806,-44.431) (-2.245,-3.076)      2.6718
172    -10.33032   3.16352 -14.86407   4.72424 -54.80410  -0.37082       (-1.282,-0.911) (-3.813,-44.444) (-2.252,-3.092)      2.67411
173    -10.31827   3.15654 -14.85010   4.71726 -54.78892  -0.37414       (-1.272,-0.897) (-3.820,-44.457) (-2.259,-3.108)      2.67673
174    -10.30621   3.14956 -14.83614   4.71027 -54.77374  -0.37746       (-1.261,-0.884) (-3.827,-44.470) (-2.266,-3.124)      2.67965
175    -10.29416   3.14257 -14.82217   4.70329 -54.75856  -0.38077       (-1.250,-0.870) (-3.834,-44.482) (-2.273,-3.139)      2.68287
176    -10.28210   3.13559 -14.80820   4.69631 -54.74338  -0.38409       (-1.240,-0.856) (-3.841,-44.495) (-2.280,-3.155)      2.6864
177    -10.27005   3.12861 -14.79424   4.68932 -54.72820  -0.38741       (-1.229,-0.842) (-3.848,-44.508) (-2.287,-3.171)      2.69022
178    -10.25799   3.12162 -14.78027   4.68234 -54.71302  -0.39073       (-1.218,-0.828) (-3.855,-44.521) (-2.294,-3.187)      2.69435
179    -10.24594   3.11464 -14.76630   4.67536 -54.69784  -0.39404       (-1.208,-0.814) (-3.862,-44.533) (-2.301,-3.203)      2.69877
