Fol_2018-03-05.09_12_29.28_.txt     Output is probe cell, reduced cell, NCDist distance between
85    -10.12779   1.41772   7.51369 -33.99125  -9.09513 -36.88867       (-10.196,-1.581) (-5.932,-7.350) (-4.196,-28.121)      5.25435
86    -10.12521   1.40754   7.50278 -33.95467  -9.09630 -36.87621       (-10.225,-1.594) (-5.909,-7.317) (-4.216,-28.152)      5.3173
87    -10.12262   1.39735   7.49187 -33.91809  -9.09748 -36.86374       (-10.253,-1.606) (-5.886,-7.284) (-4.236,-28.183)      5.38025
88    -10.12004   1.38717   7.48096 -33.88150  -9.09866 -36.85128       (-10.282,-1.618) (-5.863,-7.250) (-4.257,-28.214)      5.44321
89    -10.11745   1.37699   7.47004 -33.84492  -9.09983 -36.83881       (-10.311,-1.630) (-5.840,-7.217) (-4.277,-28.245)      5.50616
90    -10.11487   1.36681   7.45913 -33.80833  -9.10101 -36.82634       (-10.339,-1.642) (-5.817,-7.184) (-4.298,-28.275)      5.56911
91    -10.11228   1.35663   7.44822 -33.77175  -9.10218 -36.81388       (-10.368,-1.654) (-5.794,-7.151) (-4.318,-28.306)      5.63207
92    -10.10970   1.34645   7.43731 -33.73517  -9.10336 -36.80141       (-10.396,-1.666) (-5.771,-7.118) (-4.338,-28.337)      5.69502
93    -10.10711   1.33627   7.42640 -33.69858  -9.10454 -36.78895       (-10.425,-1.678) (-5.748,-7.085) (-4.359,-28.368)      5.75798
94    -10.10452   1.32609   7.41548 -33.66200  -9.10571 -36.77648       (-10.454,-1.690) (-5.725,-7.051) (-4.379,-28.399)      5.82093
95    -10.10194   1.31591   7.40457 -33.62542  -9.10689 -36.76401       (-10.482,-1.702) (-5.702,-7.018) (-4.400,-28.430)      5.88389
96    -10.09935   1.30573   7.39366 -33.58883  -9.10807 -36.75155       (-10.511,-1.714) (-5.679,-6.985) (-4.420,-28.461)      5.94685
97    -10.09677   1.29555   7.38275 -33.55225  -9.10924 -36.73908       (-10.539,-1.726) (-5.656,-6.952) (-4.441,-28.492)      6.0098
98    -10.09418   1.28537   7.37183 -33.51567  -9.11042 -36.72662       (-10.568,-1.739) (-5.633,-6.919) (-4.461,-28.523)      6.07276
99    -10.09160   1.27519   7.36092 -33.47908  -9.11160 -36.71415       (-10.597,-1.751) (-5.610,-6.885) (-4.481,-28.554)      6.13572
100    -10.08901   1.26501   7.35001 -33.44250  -9.11277 -36.70169       (-10.625,-1.763) (-5.587,-6.852) (-4.502,-28.584)      6.19868
101    -10.08643   1.25483   7.33910 -33.40592  -9.11395 -36.68922       (-10.654,-1.775) (-5.564,-6.819) (-4.522,-28.615)      6.26164
102    -10.08384   1.24465   7.32818 -33.36933  -9.11513 -36.67675       (-10.682,-1.787) (-5.541,-6.786) (-4.543,-28.646)      6.32459
103    -10.08126   1.23447   7.31727 -33.33275  -9.11630 -36.66429       (-10.711,-1.799) (-5.518,-6.753) (-4.563,-28.677)      6.38755
104    -10.07867   1.22428   7.30636 -33.29617  -9.11748 -36.65182       (-10.740,-1.811) (-5.495,-6.720) (-4.583,-28.708)      6.45051
105    -10.07609   1.21410   7.29545 -33.25958  -9.11866 -36.63936       (-10.768,-1.823) (-5.472,-6.686) (-4.604,-28.739)      6.51347
