2BOUNDS_2018-03-07.14_40_56.526_.txt     Output is probe cell, reduced cell, NCDist distance between
108    -41.41679 -21.77985   5.65400 -36.30479  -0.96105 -50.01170       (-0.961,-11.433) (-35.344,-4.693) (-31.070,-50.973)      10.8355
109    -41.37281 -21.80039   5.63956 -36.26980  -0.99059 -50.00724       (-0.991,-11.512) (-35.279,-4.649) (-31.084,-50.998)      10.9451
110    -41.32883 -21.82093   5.62512 -36.23482  -1.02013 -50.00277       (-1.020,-11.591) (-35.215,-4.605) (-31.099,-51.023)      11.0549
111    -41.28485 -21.84148   5.61068 -36.19983  -1.04967 -49.99831       (-1.050,-11.670) (-35.150,-4.561) (-31.113,-51.048)      11.1649
112    -41.24086 -21.86202   5.59624 -36.16485  -1.07921 -49.99385       (-1.079,-11.749) (-35.086,-4.517) (-31.128,-51.073)      11.2751
113    -41.19688 -21.88256   5.58179 -36.12987  -1.10875 -49.98939       (-1.109,-11.828) (-35.021,-4.473) (-31.142,-51.098)      11.3854
114    -41.15290 -21.90310   5.56735 -36.09488  -1.13829 -49.98492       (-1.138,-11.907) (-34.957,-4.429) (-31.156,-51.123)      11.4959
115    -41.10892 -21.92365   5.55291 -36.05990  -1.16783 -49.98046       (-1.168,-11.986) (-34.892,-4.385) (-31.171,-51.148)      11.6065
116    -41.06494 -21.94419   5.53847 -36.02491  -1.19737 -49.97600       (-1.197,-12.065) (-34.828,-4.341) (-31.185,-51.173)      11.7173
117    -41.02096 -21.96473   5.52403 -35.98993  -1.22691 -49.97153       (-1.227,-12.144) (-34.763,-4.297) (-31.200,-51.198)      11.8283
118    -40.97697 -21.98527   5.50958 -35.95494  -1.25645 -49.96707       (-1.256,-12.223) (-34.698,-4.253) (-31.214,-51.224)      11.9394
119    -40.93299 -22.00581   5.49514 -35.91996  -1.28599 -49.96261       (-1.286,-12.302) (-34.634,-4.209) (-31.229,-51.249)      12.0506
120    -40.88901 -22.02636   5.48070 -35.88498  -1.31553 -49.95815       (-1.316,-12.380) (-34.569,-4.165) (-31.243,-51.274)      12.162
121    -40.84503 -22.04690   5.46626 -35.84999  -1.34507 -49.95368       (-1.345,-12.459) (-34.505,-4.121) (-31.258,-51.299)      12.2735
122    -40.80105 -22.06744   5.45182 -35.81501  -1.37461 -49.94922       (-1.375,-12.538) (-34.440,-4.077) (-31.272,-51.324)      12.3851
123    -40.75707 -22.08798   5.43737 -35.78002  -1.40415 -49.94476       (-1.404,-12.617) (-34.376,-4.033) (-31.286,-51.349)      12.4969
124    -40.71309 -22.10853   5.42293 -35.74504  -1.43369 -49.94029       (-1.434,-12.696) (-34.311,-3.989) (-31.301,-51.374)      12.6088
125    -40.66910 -22.12907   5.40849 -35.71005  -1.46323 -49.93583       (-1.463,-12.775) (-34.247,-3.945) (-31.315,-51.399)      12.7208
126    -40.62512 -22.14961   5.39405 -35.67507  -1.49277 -49.93137       (-1.493,-12.854) (-34.182,-3.901) (-31.330,-51.424)      12.8329
