Fol_.5_.txt     Output is probe cell, reduced cell, NCDist distance between
88    470.23143 1094.90559 1040.60169 -5423.22848 -2049.93804 -2587.14939       (-397.338,-37.608) (-1089.683,-470.231) (-154.443,-31.265)      235.857
89    469.69179 1093.58757 1039.38299 -5418.25434 -2048.17969 -2584.79489       (-397.620,-38.827) (-1091.141,-469.692) (-154.204,-30.586)      237.457
90    469.15214 1092.26954 1038.16428 -5413.28020 -2046.42135 -2582.44039       (-397.901,-40.046) (-1092.598,-469.152) (-153.965,-29.907)      239.064
91    468.61250 1090.95152 1036.94558 -5408.30607 -2044.66300 -2580.08589       (-398.183,-41.264) (-1094.056,-468.612) (-153.727,-29.228)      240.679
92    468.07285 1089.63350 1035.72688 -5403.33193 -2042.90465 -2577.73139       (-398.464,-42.483) (-1095.513,-468.073) (-153.488,-28.549)      242.302
93    467.53321 1088.31547 1034.50817 -5398.35780 -2041.14630 -2575.37689       (-398.746,-43.702) (-1096.970,-467.533) (-153.249,-27.870)      243.933
94    466.99356 1086.99745 1033.28947 -5393.38366 -2039.38795 -2573.02239       (-399.027,-44.920) (-1098.428,-466.994) (-153.010,-27.191)      245.571
95    466.45392 1085.67943 1032.07076 -5388.40953 -2037.62960 -2570.66789       (-399.309,-46.139) (-1099.885,-466.454) (-152.772,-26.512)      247.217
96    465.91427 1084.36140 1030.85206 -5383.43539 -2035.87125 -2568.31339       (-399.591,-47.358) (-1101.343,-465.914) (-152.533,-25.833)      248.869
97    465.37463 1083.04338 1029.63335 -5378.46125 -2034.11290 -2565.95889       (-399.872,-48.576) (-1102.800,-465.375) (-152.294,-25.154)      250.529
98    464.83498 1081.72536 1028.41465 -5373.48712 -2032.35456 -2563.60439       (-400.154,-49.795) (-1104.258,-464.835) (-152.055,-24.475)      252.196
99    464.29534 1080.40733 1027.19595 -5368.51298 -2030.59621 -2561.24989       (-400.435,-51.014) (-1105.715,-464.295) (-151.817,-23.796)      253.869
100    463.75570 1079.08931 1025.97724 -5363.53885 -2028.83786 -2558.89539       (-400.717,-52.233) (-1107.172,-463.756) (-151.578,-23.117)      255.549
101    463.21605 1077.77129 1024.75854 -5358.56471 -2027.07951 -2556.54089       (-400.998,-53.451) (-1108.630,-463.216) (-151.339,-22.438)      257.236
102    462.67641 1076.45327 1023.53983 -5353.59058 -2025.32116 -2554.18639       (-401.280,-54.670) (-1110.087,-462.676) (-151.100,-21.759)      258.929
103    462.13676 1075.13524 1022.32113 -5348.61644 -2023.56281 -2551.83189       (-401.561,-55.889) (-1111.545,-462.137) (-150.862,-21.079)      260.628
104    461.59712 1073.81722 1021.10242 -5343.64230 -2021.80446 -2549.47739       (-401.843,-57.107) (-1113.002,-461.597) (-150.623,-20.400)      262.334
105    461.05747 1072.49920 1019.88372 -5338.66817 -2020.04611 -2547.12289       (-402.125,-58.326) (-1114.460,-461.057) (-150.384,-19.721)      264.045
106    460.51783 1071.18117 1018.66502 -5333.69403 -2018.28777 -2544.76839       (-402.406,-59.545) (-1115.917,-460.518) (-150.146,-19.042)      265.763
107    459.97818 1069.86315 1017.44631 -5328.71990 -2016.52942 -2542.41389       (-402.688,-60.764) (-1117.375,-459.978) (-149.907,-18.363)      267.486
108    459.43854 1068.54513 1016.22761 -5323.74576 -2014.77107 -2540.05939       (-402.969,-61.982) (-1118.832,-459.439) (-149.668,-17.684)      269.215
109    458.89889 1067.22710 1015.00890 -5318.77163 -2013.01272 -2537.70489       (-403.251,-63.201) (-1120.289,-458.899) (-149.429,-17.005)      270.949
110    458.35925 1065.90908 1013.79020 -5313.79749 -2011.25437 -2535.35039       (-403.532,-64.420) (-1121.747,-458.359) (-149.191,-16.326)      272.689
111    457.81961 1064.59106 1012.57150 -5308.82335 -2009.49602 -2532.99589       (-403.814,-65.638) (-1123.204,-457.820) (-148.952,-15.647)      274.434
112    457.27996 1063.27303 1011.35279 -5303.84922 -2007.73767 -2530.64139       (-404.095,-66.857) (-1124.662,-457.280) (-148.713,-14.968)      276.184
113    456.74032 1061.95501 1010.13409 -5298.87508 -2005.97932 -2528.28689       (-404.377,-68.076) (-1126.119,-456.740) (-148.474,-14.289)      277.94
114    456.20067 1060.63699 1008.91538 -5293.90095 -2004.22098 -2525.93239       (-404.658,-69.294) (-1127.577,-456.201) (-148.236,-13.610)      279.701
115    455.66103 1059.31896 1007.69668 -5288.92681 -2002.46263 -2523.57789       (-404.940,-70.513) (-1129.034,-455.661) (-147.997,-12.931)      281.466
116    455.12138 1058.00094 1006.47797 -5283.95268 -2000.70428 -2521.22339       (-405.222,-71.732) (-1130.492,-455.121) (-147.758,-12.252)      283.237
117    454.58174 1056.68292 1005.25927 -5278.97854 -1998.94593 -2518.86889       (-405.503,-72.951) (-1131.949,-454.582) (-147.519,-11.573)      285.012
118    454.04209 1055.36489 1004.04057 -5274.00440 -1997.18758 -2516.51440       (-405.785,-74.169) (-1133.406,-454.042) (-147.281,-10.894)      286.792
119    453.50245 1054.04687 1002.82186 -5269.03027 -1995.42923 -2514.15990       (-406.066,-75.388) (-1134.864,-453.502) (-147.042,-10.214)      288.577
120    452.96280 1052.72885 1001.60316 -5264.05613 -1993.67088 -2511.80540       (-406.348,-76.607) (-1136.321,-452.963) (-146.803,-9.535)      290.366
121    452.42316 1051.41083 1000.38445 -5259.08200 -1991.91253 -2509.45090       (-406.629,-77.825) (-1137.779,-452.423) (-146.565,-8.856)      292.159
122    451.88352 1050.09280 999.16575 -5254.10786 -1990.15419 -2507.09640       (-406.911,-79.044) (-1139.236,-451.884) (-146.326,-8.177)      293.957
123    451.34387 1048.77478 997.94705 -5249.13373 -1988.39584 -2504.74190       (-407.192,-80.263) (-1140.694,-451.344) (-146.087,-7.498)      295.76
124    450.80423 1047.45676 996.72834 -5244.15959 -1986.63749 -2502.38740       (-407.474,-81.482) (-1142.151,-450.804) (-145.848,-6.819)      297.566
125    450.26458 1046.13873 995.50964 -5239.18545 -1984.87914 -2500.03290       (-407.755,-82.700) (-1143.608,-450.265) (-145.610,-6.140)      299.376
126    449.72494 1044.82071 994.29093 -5234.21132 -1983.12079 -2497.67840       (-408.037,-83.919) (-1145.066,-449.725) (-145.371,-5.461)      301.191
127    449.18529 1043.50269 993.07223 -5229.23718 -1981.36244 -2495.32390       (-408.319,-85.138) (-1146.523,-449.185) (-145.132,-4.782)      303.01
128    448.64565 1042.18466 991.85352 -5224.26305 -1979.60409 -2492.96940       (-408.600,-86.356) (-1147.981,-448.646) (-144.893,-4.103)      304.832
129    448.10600 1040.86664 990.63482 -5219.28891 -1977.84574 -2490.61490       (-408.882,-87.575) (-1149.438,-448.106) (-144.655,-3.424)      306.658
130    447.56636 1039.54862 989.41612 -5214.31478 -1976.08740 -2488.26040       (-409.163,-88.794) (-1150.896,-447.566) (-144.416,-2.745)      308.488
131    447.02671 1038.23059 988.19741 -5209.34064 -1974.32905 -2485.90590       (-409.445,-90.012) (-1152.353,-447.027) (-144.177,-2.066)      310.322
132    446.48707 1036.91257 986.97871 -5204.36651 -1972.57070 -2483.55140       (-409.726,-91.231) (-1153.811,-446.487) (-143.938,-1.387)      312.16
133    445.94742 1035.59455 985.76000 -5199.39237 -1970.81235 -2481.19690       (-410.008,-92.450) (-1155.268,-445.947) (-143.700,-0.708)      314.001
134    445.40778 1034.27652 984.54130 -5194.41823 -1969.05400 -2478.84240       (-410.289,-93.669) (-1156.725,-445.408) (-143.461,-0.029)      315.845
135    444.86814 1032.95850 983.32260 -5189.44410 -1967.29565 -2476.48790       (-1157.532,-94.237) (-409.920,-444.218) (-143.873,-0.650)      270.051    *****
136    444.32849 1031.64048 982.10389 -5184.46996 -1965.53730 -2474.13340       (-1158.311,-94.776) (-409.523,-442.999) (-144.313,-1.330)      270.838
137    443.78885 1030.32245 980.88519 -5179.49583 -1963.77895 -2471.77890       (-1159.089,-95.316) (-409.125,-441.780) (-144.753,-2.009)      271.635
138    443.24920 1029.00443 979.66648 -5174.52169 -1962.02061 -2469.42440       (-1159.868,-95.856) (-408.728,-440.562) (-145.194,-2.688)      272.442
139    442.70956 1027.68641 978.44778 -5169.54756 -1960.26226 -2467.06990       (-1160.646,-96.395) (-408.330,-439.343) (-145.634,-3.367)      273.258
140    442.16991 1026.36839 977.22907 -5164.57342 -1958.50391 -2464.71540       (-1161.424,-96.935) (-407.933,-438.124) (-146.074,-4.046)      274.083
141    441.63027 1025.05036 976.01037 -5159.59928 -1956.74556 -2462.36090       (-1162.203,-97.475) (-407.535,-436.905) (-146.515,-4.725)      274.918
142    441.09062 1023.73234 974.79167 -5154.62515 -1954.98721 -2460.00640       (-1162.981,-98.014) (-407.138,-435.687) (-146.955,-5.404)      275.763
143    440.55098 1022.41432 973.57296 -5149.65101 -1953.22886 -2457.65190       (-1163.759,-98.554) (-406.740,-434.468) (-147.395,-6.083)      276.616
144    440.01133 1021.09629 972.35426 -5144.67688 -1951.47051 -2455.29740       (-1164.538,-99.094) (-406.343,-433.249) (-147.836,-6.762)      277.479
145    439.47169 1019.77827 971.13555 -5139.70274 -1949.71217 -2452.94290       (-1165.316,-99.633) (-405.945,-432.031) (-148.276,-7.441)      278.351
146    438.93205 1018.46025 969.91685 -5134.72861 -1947.95382 -2450.58840       (-1166.095,-100.173) (-405.548,-430.812) (-148.716,-8.120)      279.232
147    438.39240 1017.14222 968.69815 -5129.75447 -1946.19547 -2448.23390       (-1166.873,-100.713) (-405.150,-429.593) (-149.157,-8.799)      280.122
148    437.85276 1015.82420 967.47944 -5124.78033 -1944.43712 -2445.87940       (-1167.651,-101.252) (-404.753,-428.375) (-149.597,-9.478)      281.02
149    437.31311 1014.50618 966.26074 -5119.80620 -1942.67877 -2443.52490       (-1168.430,-101.792) (-404.355,-427.156) (-150.037,-10.157)      281.928
150    436.77347 1013.18815 965.04203 -5114.83206 -1940.92042 -2441.17040       (-1169.208,-102.331) (-403.958,-425.937) (-150.478,-10.836)      282.844
151    436.23382 1011.87013 963.82333 -5109.85793 -1939.16207 -2438.81590       (-1169.986,-102.871) (-403.560,-424.718) (-150.918,-11.515)      283.768
152    435.69418 1010.55211 962.60462 -5104.88379 -1937.40372 -2436.46140       (-1170.765,-103.411) (-403.163,-423.500) (-151.358,-12.194)      284.701
153    435.15453 1009.23408 961.38592 -5099.90966 -1935.64538 -2434.10690       (-1171.543,-103.950) (-402.765,-422.281) (-151.799,-12.874)      285.643
154    434.61489 1007.91606 960.16722 -5094.93552 -1933.88703 -2431.75240       (-1172.322,-104.490) (-402.368,-421.062) (-152.239,-13.553)      286.593
155    434.07524 1006.59804 958.94851 -5089.96138 -1932.12868 -2429.39790       (-1173.100,-105.030) (-401.970,-419.844) (-152.679,-14.232)      287.551
156    433.53560 1005.28001 957.72981 -5084.98725 -1930.37033 -2427.04340       (-1173.878,-105.569) (-401.573,-418.625) (-153.120,-14.911)      288.517
157    432.99596 1003.96199 956.51110 -5080.01311 -1928.61198 -2424.68890       (-1174.657,-106.109) (-401.175,-417.406) (-153.560,-15.590)      289.492
158    432.45631 1002.64397 955.29240 -5075.03898 -1926.85363 -2422.33440       (-1175.435,-106.649) (-400.778,-416.187) (-154.000,-16.269)      290.474
159    431.91667 1001.32595 954.07369 -5070.06484 -1925.09528 -2419.97990       (-1176.213,-107.188) (-400.380,-414.969) (-154.441,-16.948)      291.465
160    431.37702 1000.00792 952.85499 -5065.09071 -1923.33693 -2417.62540       (-1176.992,-107.728) (-399.983,-413.750) (-154.881,-17.627)      292.463
161    430.83738 998.68990 951.63629 -5060.11657 -1921.57859 -2415.27090       (-1177.770,-108.268) (-399.585,-412.531) (-155.321,-18.306)      293.469
162    430.29773 997.37188 950.41758 -5055.14243 -1919.82024 -2412.91640       (-1178.549,-108.807) (-399.188,-411.313) (-155.761,-18.985)      294.482
163    429.75809 996.05385 949.19888 -5050.16830 -1918.06189 -2410.56190       (-1179.327,-109.347) (-398.790,-410.094) (-156.202,-19.664)      295.504
164    429.21844 994.73583 947.98017 -5045.19416 -1916.30354 -2408.20740       (-1180.105,-109.886) (-398.393,-408.875) (-156.642,-20.343)      296.532
165    428.67880 993.41781 946.76147 -5040.22003 -1914.54519 -2405.85290       (-1180.884,-110.426) (-397.995,-407.657) (-157.082,-21.022)      297.569
166    428.13915 992.09978 945.54277 -5035.24589 -1912.78684 -2403.49840       (-1181.662,-110.966) (-397.598,-406.438) (-157.523,-21.701)      298.612
167    427.59951 990.78176 944.32406 -5030.27176 -1911.02849 -2401.14390       (-1182.440,-111.505) (-397.200,-405.219) (-157.963,-22.380)      299.663
168    427.05987 989.46374 943.10536 -5025.29762 -1909.27014 -2398.78940       (-1183.219,-112.045) (-396.802,-404.000) (-158.403,-23.059)      300.721
169    426.52022 988.14571 941.88665 -5020.32348 -1907.51180 -2396.43490       (-1183.997,-112.585) (-396.405,-402.782) (-158.844,-23.738)      301.786
170    425.98058 986.82769 940.66795 -5015.34935 -1905.75345 -2394.08040       (-1184.776,-113.124) (-396.007,-401.563) (-159.284,-24.418)      302.859
171    425.44093 985.50967 939.44924 -5010.37521 -1903.99510 -2391.72590       (-1185.554,-113.664) (-395.610,-400.344) (-159.724,-25.097)      303.938
172    424.90129 984.19164 938.23054 -5005.40108 -1902.23675 -2389.37140       (-1186.332,-114.204) (-395.212,-399.126) (-160.165,-25.776)      305.024
173    424.36164 982.87362 937.01184 -5000.42694 -1900.47840 -2387.01690       (-1187.111,-114.743) (-394.815,-397.907) (-160.605,-26.455)      306.117
174    423.82200 981.55560 935.79313 -4995.45281 -1898.72005 -2384.66240       (-1187.889,-115.283) (-394.417,-396.688) (-161.045,-27.134)      307.217
175    423.28235 980.23757 934.57443 -4990.47867 -1896.96170 -2382.30790       (-1188.668,-115.823) (-394.020,-395.470) (-161.486,-27.813)      308.324
