Fol_.82_.txt     Output is probe cell, reduced cell, NCDist distance between
124    277.62042 1005.66900 997.87869 -11189.81271 -2178.98502 -8344.81276       (-7365.945,-625.865) (-6150.247,-94.393) (-633.656,-183.228)      2001.17
125    277.30142 997.54156 996.06991 -11178.60049 -2176.85724 -8340.78178       (-7376.095,-626.184) (-6160.981,-92.584) (-627.656,-184.717)      2017.29
126    276.98242 989.41412 994.26113 -11167.38827 -2174.72946 -8336.75081       (-7386.245,-626.503) (-6171.715,-90.775) (-621.656,-186.207)      2033.41
127    276.66342 981.28668 992.45234 -11156.17605 -2172.60168 -8332.71984       (-7396.395,-626.822) (-6182.449,-88.966) (-615.657,-187.697)      2049.53
128    276.34442 973.15925 990.64356 -11144.96383 -2170.47390 -8328.68886       (-7406.545,-627.141) (-6193.184,-87.158) (-609.657,-189.187)      2065.65
129    276.02542 965.03181 988.83478 -11133.75160 -2168.34612 -8324.65789       (-7416.695,-627.460) (-6203.918,-85.349) (-603.658,-190.677)      2081.77
130    275.70642 956.90437 987.02600 -11122.53938 -2166.21834 -8320.62692       (-7426.845,-627.779) (-6214.652,-83.540) (-597.658,-192.166)      2097.88
131    275.38742 948.77693 985.21722 -11111.32716 -2164.09055 -8316.59594       (-7436.995,-628.098) (-6225.386,-81.731) (-591.658,-193.656)      2114
132    275.06842 940.64949 983.40844 -11100.11494 -2161.96277 -8312.56497       (-7447.145,-628.417) (-6236.120,-79.923) (-585.659,-195.146)      2130.12
133    274.74942 932.52205 981.59966 -11088.90272 -2159.83499 -8308.53399       (-7457.295,-628.736) (-6246.854,-78.114) (-579.659,-196.636)      2146.24
134    274.43042 924.39461 979.79088 -11077.69049 -2157.70721 -8304.50302       (-7467.445,-629.055) (-6257.588,-76.305) (-573.659,-198.125)      2162.36
135    274.11142 916.26717 977.98210 -11066.47827 -2155.57943 -8300.47205       (-7477.595,-629.374) (-6268.322,-74.496) (-567.660,-199.615)      2178.48
136    273.79242 908.13973 976.17332 -11055.26605 -2153.45165 -8296.44107       (-7487.745,-629.693) (-6279.057,-72.687) (-561.660,-201.105)      2194.6
137    273.47342 900.01229 974.36454 -11044.05383 -2151.32387 -8292.41010       (-7497.895,-630.012) (-6289.791,-70.879) (-555.660,-202.595)      2210.72
138    273.15442 891.88485 972.55576 -11032.84161 -2149.19609 -8288.37912       (-7508.045,-630.331) (-6300.525,-69.070) (-549.661,-204.085)      2226.84
139    272.83542 883.75742 970.74698 -11021.62938 -2147.06831 -8284.34815       (-7518.195,-630.650) (-6311.259,-67.261) (-543.661,-205.574)      2242.96
